EMPLOYEE_ID,NAME,EMAIL,EVENT_NAME
EMP151,Alice Rios,melissa42@example.org,Azure
EMP200,Alyssa Hunt,tinadiaz@example.com,Test-Driven Development
EMP137,Alyssa Mitchell,michael93@example.com,Statistical Analysis
EMP137,Alyssa Mitchell,michael93@example.com,Machine Learning
EMP15,Amber Rodriguez,davismichael@example.org,Data Visualization
EMP209,Amy Marsh,cwalsh@example.com,Azure
EMP141,Angela Mcmahon,wcaldwell@example.com,Python
EMP118,Anita Wu,annwillis@example.org,Machine Learning
EMP81,Ann Fox,ggriffin@example.org,Python
EMP71,Ann Graves,dennishorton@example.org,Scrum
EMP51,Anna Delacruz,dsanchez@example.org,DevOps
EMP131,Anna Gilbert,waynepeterson@example.org,PHP
EMP186,Ariana Michael,jessicaoconnor@example.net,Penetration Testing
EMP186,Ariana Michael,jessicaoconnor@example.net,User Research
EMP186,Ariana Michael,jessicaoconnor@example.net,Test-Driven Development
EMP113,Ashley Harvey,jamie91@example.com,C#
EMP156,Barbara Garcia,robinowens@example.org,Statistical Analysis
EMP140,Billy Perez,hannah02@example.org,Python
EMP86,Bonnie May,michelletaylor@example.org,Penetration Testing
EMP86,Bonnie May,michelletaylor@example.org,Statistical Analysis
EMP86,Bonnie May,michelletaylor@example.org,Git
EMP21,Brad Adkins,simmonsraymond@example.net,Scrum
EMP21,Brad Adkins,simmonsraymond@example.net,C#
EMP300,Brett Robertson,jill73@example.com,Documentation
EMP300,Brett Robertson,jill73@example.com,Statistical Analysis
EMP26,Brian Barajas,anthony29@example.net,Documentation
EMP188,Bridget Garza,uholland@example.org,Azure
EMP250,Brittney Hernandez,kellymitchell@example.com,Data Visualization
EMP25,Carla Weaver,nnewman@example.net,Vue.js
EMP90,Carol Church,bmoore@example.net,Scrum
EMP294,Carol Johnson,wendyhensley@example.net,Documentation
EMP294,Carol Johnson,wendyhensley@example.net,Data Analysis
EMP27,Carolyn Gay,tylerjones@example.org,Azure
EMP27,Carolyn Gay,tylerjones@example.org,Data Analysis
EMP27,Carolyn Gay,tylerjones@example.org,DevOps
EMP211,Christine Fischer,grosswhitney@example.net,Python
EMP211,Christine Fischer,grosswhitney@example.net,Data Visualization
EMP159,Christopher Gutierrez,shiggins@example.com,PHP
EMP59,Christopher Hale,jamesweber@example.com,User Research
EMP257,Christopher Mcguire,tnavarro@example.com,DevOps
EMP97,Christopher Weiss,richard62@example.com,Test-Driven Development
EMP265,Crystal Evans,paul15@example.com,Vue.js
EMP78,Dalton Moore,jake84@example.com,Microservices
EMP270,Daniel Diaz,ericwilliams@example.net,Documentation
EMP267,Daniel Franco,ariassharon@example.org,PHP
EMP283,Denise Davis,beckcorey@example.org,Data Visualization
EMP43,Donald Guzman,stephen48@example.com,Git
EMP166,Drew Jones,nlee@example.com,User Research
EMP172,Eduardo Allen,lorigill@example.com,Python
EMP142,Elizabeth Weber,davidrodriguez@example.net,Scrum
EMP142,Elizabeth Weber,davidrodriguez@example.net,Test-Driven Development
EMP295,Emily Gates,tiffanykirk@example.org,Vue.js
EMP295,Emily Gates,tiffanykirk@example.org,Azure
EMP19,Emily Walsh,zscott@example.net,PHP
EMP153,Evan Patrick,roy88@example.net,Documentation
EMP122,Gina Kim,jblair@example.net,SQL
EMP62,Gregory Allen,albert59@example.net,Documentation
EMP157,Gregory Campbell,ifowler@example.net,SQL
EMP10,Heather Willis,shawjason@example.org,Data Analysis
EMP259,Henry Collins,monicasmith@example.org,Data Visualization
EMP182,Holly Johnson,davidnguyen@example.com,Data Visualization
EMP197,Ian Camacho,ocarter@example.com,Machine Learning
EMP61,Jack Rodriguez,smithtyrone@example.org,DevOps
EMP252,James Lawson,hilldorothy@example.net,Penetration Testing
EMP252,James Lawson,hilldorothy@example.net,Statistical Analysis
EMP73,James Lozano,zhughes@example.net,C#
EMP73,James Lozano,zhughes@example.net,Penetration Testing
EMP73,James Lozano,zhughes@example.net,Git
EMP48,James Rice,lopezblake@example.net,Data Analysis
EMP65,James Smith,lauracharles@example.org,Penetration Testing
EMP65,James Smith,lauracharles@example.org,Data Analysis
EMP264,Jane Lozano,troymacdonald@example.com,Data Visualization
EMP129,Jane Thompson,michaelrichard@example.com,Scrum
EMP8,Janice Sandoval,riddleemma@example.org,User Research
EMP241,Jason Jensen,pclark@example.net,Scrum
EMP84,Jason Rodriguez,michaelcastaneda@example.net,Data Visualization
EMP29,Jeffery Garcia,jpowell@example.com,Data Analysis
EMP218,Jeffrey Mccarty,blackrussell@example.com,Test-Driven Development
EMP24,Jennifer Campbell,shellyaguilar@example.org,Vue.js
EMP105,Jennifer Fox,amandatanner@example.org,Scrum
EMP192,Jesse Yates,christophermurray@example.com,C#
EMP282,Jessica Scott,fuenteskevin@example.org,Documentation
EMP277,Jocelyn Miller,mperry@example.org,Documentation
EMP68,John Anderson,jacobstyler@example.net,DevOps
EMP68,John Anderson,jacobstyler@example.net,PHP
EMP66,John Sullivan,thomas03@example.net,Python
EMP66,John Sullivan,thomas03@example.net,Microservices
EMP76,John Wiggins,lewiselizabeth@example.com,Penetration Testing
EMP85,Jose Forbes,ghall@example.net,SQL
EMP98,Joshua Gilbert,omarshall@example.org,User Research
EMP147,Julia Sanchez,gmunoz@example.com,Git
EMP147,Julia Sanchez,gmunoz@example.com,SQL
EMP278,Julie Oconnor,iscott@example.com,Data Analysis
EMP75,Justin Christensen,simselizabeth@example.com,Test-Driven Development
EMP75,Justin Christensen,simselizabeth@example.com,Penetration Testing
EMP3,Justin Clark,megan57@example.net,Azure
EMP39,Katherine Parks,kelseyjackson@example.org,User Research
EMP247,Kayla Anthony,kevin40@example.net,Data Visualization
EMP247,Kayla Anthony,kevin40@example.net,Machine Learning
EMP49,Kelly Ramirez,cochrankrista@example.com,SQL
EMP130,Kenneth Morton,sacevedo@example.org,Data Visualization
EMP190,Kevin Todd,philip17@example.com,Machine Learning
EMP190,Kevin Todd,philip17@example.com,Scrum
EMP262,Kimberly Haley,xsmith@example.net,Statistical Analysis
EMP262,Kimberly Haley,xsmith@example.net,SQL
EMP55,Kimberly Livingston,hendersondawn@example.net,User Research
EMP55,Kimberly Livingston,hendersondawn@example.net,SQL
EMP160,Kimberly Ramirez,rcooper@example.net,Vue.js
EMP45,Kimberly Thomas,grantjustin@example.net,Git
EMP45,Kimberly Thomas,grantjustin@example.net,C#
EMP158,Kristen Johnson,cooperrenee@example.net,Python
EMP231,Kurt Moreno,rogerwilliams@example.org,Test-Driven Development
EMP5,Laurie Brown,charles65@example.com,SQL
EMP258,Linda Briggs,tanderson@example.net,Penetration Testing
EMP222,Lindsay Mayo,josephbrown@example.org,Git
EMP222,Lindsay Mayo,josephbrown@example.org,DevOps
EMP180,Lindsey Young,rebecca05@example.com,DevOps
EMP180,Lindsey Young,rebecca05@example.com,User Research
EMP164,Lisa Harvey,lawrencewilliam@example.org,Microservices
EMP164,Lisa Harvey,lawrencewilliam@example.org,Data Visualization
EMP164,Lisa Harvey,lawrencewilliam@example.org,SQL
EMP67,Lisa Patterson,tracybeck@example.com,Git
EMP220,Lisa Robinson,thomas06@example.com,C#
EMP198,Madison Sims,brandon58@example.com,Machine Learning
EMP204,Margaret Freeman,alexander21@example.com,Vue.js
EMP152,Maria Lam,kent27@example.net,Documentation
EMP124,Mark Kirby,ryanjoe@example.org,Machine Learning
EMP107,Matthew Floyd,douglashudson@example.com,User Research
EMP276,Maxwell Hardy,xconner@example.org,SQL
EMP276,Maxwell Hardy,xconner@example.org,Vue.js
EMP20,Michael Bowman,anthonywright@example.org,PHP
EMP83,Michael Malone,austinjones@example.org,Test-Driven Development
EMP284,Michael Rose,owenvictoria@example.net,User Research
EMP4,Michael Thompson,abhishekkumar.student1@gmail.com,DevOps
EMP177,Michelle Richardson,sabrina26@example.org,DevOps
EMP275,Natalie David,russelljonathan@example.net,Documentation
EMP79,Natasha Robinson,wjones@example.com,Scrum
EMP120,Nathan Harris,michael33@example.net,DevOps
EMP203,Nicholas Mata,juliebarajas@example.net,Test-Driven Development
EMP28,Nicole Washington,elliskaren@example.com,Microservices
EMP54,Patrick Rodriguez,patrickjason@example.com,PHP
EMP54,Patrick Rodriguez,patrickjason@example.com,Scrum
EMP54,Patrick Rodriguez,patrickjason@example.com,Documentation
EMP31,Peter Lee,snyderluke@example.net,DevOps
EMP31,Peter Lee,snyderluke@example.net,Microservices
EMP88,Rachel Ellis,odecker@example.net,Microservices
EMP7,Randall Sexton,rachaeljordan@example.com,Data Visualization
EMP70,Rebecca Garza,whiteheadrobert@example.org,Test-Driven Development
EMP244,Rebekah Arias,mcbridelauren@example.com,Penetration Testing
EMP42,Renee Robertson,hjohnston@example.org,Test-Driven Development
EMP42,Renee Robertson,hjohnston@example.org,Git
EMP213,Richard Hurst,sgilbert@example.com,Python
EMP213,Richard Hurst,sgilbert@example.com,PHP
EMP184,Richard Wright,kathleen59@example.com,Test-Driven Development
EMP233,Robert Hawkins,navarrodonald@example.net,Penetration Testing
EMP176,Robert Rios,fernandezmatthew@example.com,Data Analysis
EMP176,Robert Rios,fernandezmatthew@example.com,Azure
EMP53,Robert Shelton,scott32@example.org,C#
EMP53,Robert Shelton,scott32@example.org,Penetration Testing
EMP53,Robert Shelton,scott32@example.org,Azure
EMP272,Robert York,ylong@example.com,Machine Learning
EMP143,Ronnie Gardner,tracypatterson@example.org,Python
EMP254,Roy Pena,henry04@example.net,PHP
EMP69,Ryan Lewis,jonesdiane@example.org,Machine Learning
EMP69,Ryan Lewis,jonesdiane@example.org,Statistical Analysis
EMP237,Ryan Wheeler,matthewsjennifer@example.org,Microservices
EMP207,Samuel Lewis,zanderson@example.com,Test-Driven Development
EMP135,Sarah Rodgers,vargaskathryn@example.com,Statistical Analysis
EMP135,Sarah Rodgers,vargaskathryn@example.com,DevOps
EMP109,Scott Maxwell,navarropamela@example.com,Data Analysis
EMP289,Shannon Reeves,mmartin@example.org,Penetration Testing
EMP50,Shawn Sanders,heathermyers@example.org,C#
EMP125,Sophia Key,lauren44@example.net,Data Analysis
EMP125,Sophia Key,lauren44@example.net,Statistical Analysis
EMP255,Spencer Gutierrez,longkevin@example.net,Documentation
EMP243,Stephanie Wright,nathaniel47@example.net,Vue.js
EMP111,Susan Webb,holmeskeith@example.net,Vue.js
EMP234,Sydney Newman,mmorgan@example.com,Azure
EMP234,Sydney Newman,mmorgan@example.com,Microservices
EMP95,Tanya Johnson,matthewbrewer@example.org,Machine Learning
EMP95,Tanya Johnson,matthewbrewer@example.org,Vue.js
EMP297,Theresa Hubbard,kellyrobinson@example.net,User Research
EMP171,Tiffany Alvarado,fcarney@example.com,C#
EMP134,Timothy Guerrero,lukesalazar@example.com,Data Analysis
EMP91,Travis Gutierrez,heatherpetersen@example.org,Data Analysis
EMP199,Victoria Steele,david08@example.com,Git
EMP2,Vincent Cain,lewisjessica@example.org,Machine Learning
EMP287,William Bowman,awarner@example.net,Python
EMP242,William Hogan,graveschristopher@example.org,C#
EMP89,William Richardson,farmertimothy@example.org,Azure
EMP64,William Wade,clee@example.net,C#
