EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,USERTYPE,DATE_OF_BIRTH,GENDER,PHONENO,ADDRESS
EMP1,Miguel,Pace,sak29193@gmail.com,User,25-12-2002,Other,-8406,"325 Smith Glen Apt. 727
South Marilyn, AL 87788"
EMP2,Vincent,Cain,lewisjessica@example.org,User,15-05-1986,Female,+1-265-687-2797x51032,"607 April Dale Apt. 967
Colleenmouth, PA 55919"
EMP3,Justin,Clark,megan57@example.net,User,02-04-1987,Female,(232)215-6533,"5189 Thompson Ways
Greenestad, WV 79374"
EMP4,Michael,Thompson,abhishekkumar.student1@gmail.com,Admin,02-09-1993,Male,498-834-4866x81730,"32227 Lopez Parks Suite 605
East James, CA 27104"
EMP5,Laurie,Brown,charles65@example.com,Admin,17-08-1980,Other,477-283-7047x556,"2523 Garner Gateway
Port Frank, MT 32112"
EMP6,Micheal,Kim,david23@example.net,User,25-05-1987,Female,(465)979-2864x25624,"USS Hendricks
FPO AE 11322"
EMP7,Randall,Sexton,rachaeljordan@example.com,User,13-05-1989,Female,409.595.9174x9329,"9556 Bowers Wall
North William, WY 51244"
EMP8,Janice,Sandoval,riddleemma@example.org,User,05-02-1997,Female,(613)263-6527x556,"55674 Rebecca Knoll
Stephanieburgh, RI 58624"
EMP9,Cheryl,Sandoval,jodi48@example.net,User,07-06-1999,Male,001-623-656-8930x037,"USCGC Freeman
FPO AA 88339"
EMP10,Heather,Willis,shawjason@example.org,User,04-07-1991,Male,358.859.4306x403,"0501 Griffin Plaza Suite 534
Geoffreyland, ND 49834"
EMP11,Stephanie,Flores,jeremy29@example.net,Admin,19-11-1987,Female,(715)580-9999,"5047 Patricia Circles
New Brianburgh, SC 77481"
EMP12,Diana,Holt,stevenvargas@example.net,User,29-01-1977,Male,001-453-260-9623x70843,"13194 Lisa Skyway
North Susanshire, VT 05514"
EMP13,Deborah,Peters,thomaseric@example.net,Admin,23-10-1987,Female,+1-567-341-7518x2102,"81261 Nicholas Drive Apt. 899
Hallstad, IA 41072"
EMP14,Sean,Garcia,cheryl51@example.org,User,28-06-1976,Male,(711)983-1692,"0155 Alejandra Avenue Apt. 924
Davisfurt, IL 05475"
